year,month,Year-Month,Temperature
2015,1,2015-1,-0.2
2015,2,2015-2,1.2
2015,3,2015-3,4.6
2015,4,2015-4,9.9
2015,5,2015-5,15.1
2015,6,2015-6,18.1
2015,7,2015-7,22.8
2015,8,2015-8,23.6
2015,9,2015-9,19.4
2015,10,2015-10,12.2
2015,11,2015-11,8.4
2015,12,2015-12,3.1
2016,1,2016-1,-0.8
2016,2,2016-2,-0.1
2016,3,2016-3,4
2016,4,2016-4,9.2
2016,5,2016-5,15.4
2016,6,2016-6,17.4
2016,7,2016-7,21.5
2016,8,2016-8,24.5
2016,9,2016-9,20.7
2016,10,2016-10,12.7
2016,11,2016-11,5
2016,12,2016-12,2
2017,1,2017-1,-0.4
2017,2,2017-2,0.2
2017,3,2017-3,2.6
2017,4,2017-4,9.7
2017,5,2017-5,15.1
2017,6,2017-6,16.9
2017,7,2017-7,24
2017,8,2017-8,22
2017,9,2017-9,19.1
2017,10,2017-10,12.7
2017,11,2017-11,6.6
2017,12,2017-12,0.2
2018,1,2018-1,-0.9
2018,2,2018-2,-1.9
2018,3,2018-3,4.6
2018,4,2018-4,9.6
2018,5,2018-5,14.2
2018,6,2018-6,17.8
2018,7,2018-7,22.6
2018,8,2018-8,22.8
2018,9,2018-9,20
2018,10,2018-10,14.2
2018,11,2018-11,8.3
2018,12,2018-12,1.2
2019,1,2019-1,-0.6
2019,2,2019-2,0
2019,3,2019-3,3.8
2019,4,2019-4,8.5
2019,5,2019-5,15.8
2019,6,2019-6,18.1
2019,7,2019-7,22.1
2019,8,2019-8,24.8
2019,9,2019-9,21.2
2019,10,2019-10,15.1
2019,11,2019-11,6.3
2019,12,2019-12,2
